TimeStamp,ON/OFF,Power_W,Current,Sauna Temperature,Humidity,Steam,Water Temperature,Cost,Price_EUR_kWh,T_set
2023-01-12 23:22:43.418566,0.0,63.14,0.27,47.3,99.9,8.21,56.9,2.5555253741795556e-06,0.12415999999999999,47
2023-01-12 23:22:44.596651,0.0,63.37,0.28,47.3,99.9,7.81,57.14,2.5747764997866665e-06,0.12415999999999999,47
2023-01-12 23:22:45.769984,0.0,62.18,0.27,47.2,99.9,6.59,56.82,2.516235042197333e-06,0.12415999999999999,47
2023-01-12 23:22:46.948896,0.0,62.46,0.27,47.2,99.9,6.11,57.06,2.539583936512e-06,0.12415999999999999,47
2023-01-12 23:22:48.122518,0.0,66.28,0.29,47.3,99.9,7.52,57.3,2.6828101751182222e-06,0.12415999999999999,47
2023-01-12 23:22:49.300900,0.0,67.91,0.3,47.3,99.9,7.45,56.9,2.759936141205333e-06,0.12415999999999999,47
2023-01-12 23:22:50.474457,0.0,65.08,0.28,47.3,99.9,7.55,56.98,2.6340919777137772e-06,0.12415999999999999,47
2023-01-12 23:22:51.652706,0.0,63.01,0.27,47.3,99.9,7.4,57.06,2.5605057921884442e-06,0.12415999999999999,47
2023-01-12 23:22:52.826359,0.0,64.14,0.28,47.3,99.9,6.45,57.06,2.596258144618667e-06,0.12415999999999999,47
2023-01-12 23:22:54.004774,0.0,65.02,0.28,47.3,99.9,6.15,57.3,2.6425574044799996e-06,0.12415999999999999,47
2023-01-12 23:22:55.178466,0.0,65.09,0.28,47.3,99.9,7.81,57.06,2.634799783523556e-06,0.12415999999999999,47
2023-01-12 23:22:56.356775,0.0,63.29,0.28,47.3,99.9,7.81,56.74,2.572014979971555e-06,0.12415999999999999,47
2023-01-12 23:22:57.530580,0.0,59.48,0.26,47.3,99.9,6.76,57.14,2.4079425336177774e-06,0.12415999999999999,47
2023-01-12 23:22:58.709144,0.0,57.06,0.25,47.3,99.9,6.3,56.74,2.3193385239039998e-06,0.12415999999999999,47
2023-01-12 23:22:59.883255,0.0,59.46,0.26,47.3,99.9,6.25,56.82,2.407760386069333e-06,0.12415999999999999,47
2023-01-12 23:23:01.062802,0.0,56.93,0.25,47.3,99.9,6.25,56.74,2.315984440487111e-06,0.12415999999999999,47
2023-01-12 23:23:02.236344,0.0,56.01,0.24,47.3,99.9,7.89,56.66,2.2669576816853333e-06,0.12415999999999999,47
